reviewId,content,score
ddca6957-b17f-468e-bbe3-31bff89974f2,"Great game. Very simple but satisfying gameplay, practically infinite content, great artstyle/graphics, always getting updates, and all around one of the best games you can find on the app store. More importantly, we all know how bad ads are on this god-forsaken store. This game has very few. Don't get me wrong if you watch the optional ones you could spend hours on ads, but as for forced ads, you get one every two games and they're always five seconds or less. (Or you can use airplane mode..)",5
337cf709-2c24-40b4-b7e9-e36c24a4157c,Good game 🎮🎮🎮🎮,2
8c22b9e1-66d9-4aee-a6c1-eee23a667564,10/10 W GOATED GAME 🗣️🗣️ but the only problem I've been facing is it will restart by itself like I just installed it,5
8f86cf12-c48e-4f77-affc-f1e58339f185,This is the fantastic game 🎮.I have fallen in love with this game .,5
29f8fbd5-564a-4ab4-b716-6039c3a1d139,Very nice for timepas,5
b51b9082-837c-4cfb-ba17-a4afd241b50a,Love it,4
228d8a70-5b4a-4bc9-baa3-6e37cc602440,Nice video game,5
21c00637-618f-48c1-8d6c-4abe13f1d112,𝚒𝚝𝚜 𝚏𝚞𝚗,5
c26bd002-e126-4013-a678-17ce4e1dffd6,"Very fun game, especially when on a long car ride or just bored at home. 💯",5
28405a51-fb28-454c-bc51-531237d87966,It's all right,4
cfb59d04-e969-4acc-9206-e0d0f9c37bb3,This is for people,5
102fb639-d2ff-4201-ad93-51d3ab724da2,Very God,5
410b021a-b16f-4bc9-954c-b1b500a82dfb,Good,5
5533f769-d91d-4b94-9fe5-7b77633fde79,I am the goat,5
fbee1a27-d5cd-4354-8453-414a849005d3,I love it,5
c0f76c64-2d28-4459-9a8b-50fd6d6b7e84,The game is very nice I like it but the ads of 5 sec manageable sometimes ads of 30 sec we have to watch and keys will be less once we loose chances ..,5
310b88cf-e1e3-4124-b53d-1da9c2c3e041,Wow,5
0d5c9aef-b7d2-430a-a8b6-bf84a8ed5ad3,Good,5
b181bc6b-a5dc-4e89-9f58-2617cd2ca15e,Used to be a great game. Now is nothing but 30 second unskippable adds.,1
16b43776-2fcb-4be1-809d-02b6da99b694,个大概要求了吧主人生路口气息你是谁呢,5
76d6fbfd-e33f-4d4e-b52e-8e6f0c94a2a9,"I love this game, I love playing it offline, I love the new characters. What I don't love is how often I have to update the game. I've deleted this game multiple times over the years because I eventually feel that I Subway Surfers is eating all the space in my phone. I don't know what the game makers could do to fix this, I'm just complaining.",5
