reviewId,content,score
7f35f043-681c-4cd3-8005-8c8e283f6b07,Mara update karo instagram,5
5d431cd4-4dd0-4ed5-92d2-9ce597de37d6,Mera Instagram nahin chal raha hai,1
8c95f6c8-a4c5-415f-b78f-59bc83ef4e81,Sir video upload nhi ho rha,1
090fa238-62ec-4ff2-bbe9-914d4d6b68b3,Nice app ak bhi ladki riply nhi karti,5
5df104aa-960c-43b0-a0a5-97194bf82e9f,Mahabhrat,5
2aa5358b-fdac-4f15-a3c7-c2ace29601f2,ਇੰਸਟਾਗ੍ਰਾਮ,5
8d571d9d-d47c-48bf-83ec-2aef88ebe74c,Insta gram my favourite,5
5cec90b9-f83d-48c5-a7a7-8f9a0a0e0fa6,Jio,3
f24540d4-79ba-4bc5-b177-46a5c313de0c,I love Instagram Instagram Ek Aisa platform Mein Jahan Ham apni Jindagi Khule tarike Se Ji Sakte apni post logon ko share kar sakte aur apnon ki post Instagram par dekh Sakte I love you too Instagram,5
494d615c-4c59-4f77-8cee-62844bb6288d,👍👍👍👍👍👍👍👍👍👍😍,5
01f44348-0e8e-4cfb-ac37-e2f759b0ccd0,Superb 🥀🤞,5
ecf6230f-9eaf-4f3d-878a-c3f4b6cf290f,Ok,4
c16477c2-a718-4ef5-9313-1da40fc88fbc,Good,5
f103247f-0e0f-4f09-92e6-65d888bbf745,Lovely,5
c31ec9b8-0f24-4800-9ec3-2b819d95dfee,Facing too much trouble to get log in instead i am giving right password it is showing that wrong and also i can't get login more than one account also the link which is given to get login through gmail that is also not working,1
01bb2228-f99a-4f08-9268-230495691be6,Good app,5
cfe1c335-5011-4d33-9be0-48a6750609b2,Awesome 👍,5
12f13c18-2efb-4302-917a-5b4ef59638b5,My dj i'd,5
a1bbbf16-2fba-4bb9-a026-80e5a6528219,Nice app,4
244c793b-c420-4e26-b03c-9054e0d96b5d,This is a very good and beautiful app,4
7e561039-5707-4ee6-9e6d-dc190ece5688,Nice,5
b72756c1-d9a1-4ff9-a9e2-27dac91daa63,I love mark 😊,5
04f3fd62-2c6e-4544-8998-89ea89e5a237,Hello Instagram teem please fast upload Thank you,5
1232e674-19be-49c1-b1e2-33846744999c,Not bad,1
ef101bfe-5b70-4da2-a7fa-981fedc757d1,God app in world,5
8db00228-cee7-49a6-a393-52cb9a411b88,"I hate being forcefully opted in into choosing between chronological view for following, favorites, etc. I'd rather Instagram choose the feeds for me from my following list instead of suggestion posts. Now I will missed even greater posts because of this stupid un-setting-able thing that destroy my feed even more.",1
2c7ba317-cb74-43db-88a7-01266aef5b60,Very achi app,4
462830dd-cb00-4fe7-b3b4-17d469d0cb51,Good nice,5
e59e7241-fe4f-4dae-b79f-86a0bc23dca3,Good app,5
5724f5f4-49e7-448d-949c-b711569a756b,nice,5
9d62e630-637e-409f-a208-d6ca019de8fa,"N e,. Td. D ccx. DD8-)8-):^)8-)(^^):-)",2
5b4a1857-ba8c-41e8-9840-4f1e557988d9,I can't sign up it says error and that your still fixing bugs.. please fix your app immediately it's annoying,1
47861324-503e-4763-9734-ca3a41deab02,Waste my time,1
25ba2be1-a347-49b2-9539-d53c024b4791,Well good,5
1ec7dadd-dc94-4be2-9873-0e99aa39cb57,fine,5
97903c73-4165-4b9e-b866-30f8775e8105,It's great and very influential ✨,4
f26fe140-3cc0-41b7-bce8-10edaa1f52d5,Good,5
76130193-13ca-40ee-af27-5ad18feddbfb,Kya bekar app ladka ladki ban ke bat karta h aur ladki kabhi reply nai deti,1
18df4fff-b1c9-41bc-895a-6a665a83eefb,Best ❤️,5
b77094b7-3149-4f40-9a8b-2e1eb91684e1,Good app,5
0753836b-d01e-477c-bdd7-f16f69e8f667,"The algorithm never consistently works. Why even have the ""interested reels"" button if the next time I load the app it has unrelated reels.",2
d397aa6a-f027-402d-8060-a6f861e3120e,it is a super app,5
4b1f75e9-6640-423f-bbbc-31e1822b125b,Karthik kancheral very bady app,5
ad3b1d86-3780-4883-9221-20c0e1a7ad7f,Baise thik hai bas gaa*d hilane bale account hta do sb,3
6882da68-99ad-4934-8b8c-770a96715337,Bahut kharab app hay,5
00667cfd-0b03-4343-9f85-b997655ca297,Kaisa app hai bhi eak bi larki reply nhi karte hai 🤬🤬😡 jo deti sab block kar deti hai 🤬,5
8facac8d-9c9f-40f4-a64e-16dae7010f18,Taking too much time to upload a 10 minute video via BSNL FTTH with 100 Mbps upload speed and 100 Mbps download speed,2
7adcc3ab-3aa2-43e4-9316-e8e37885069e,Good,5
aeca8b23-8f3f-4aea-add3-77962ef5c53c,This is my most favourite app ❤️,5
cda5cf26-fd51-44d3-b2be-70c6b5b76f46,"Well i give it 3 stars caus it ok but, it hard to learn at first, u need to spend a lot of time ther to know how to use it, I have bin ther for a good will now, and I'm still learning.",3
279a5f5e-b8a1-4296-867f-bb5e948bfc7d,Nice,5
a7cb5074-f1ce-4e32-9025-c68101986625,Nice,5
ffc780e4-6645-48e5-904c-4f4e70916c89,This is good app but small boy and girl is not study ever time use aap,3
162ad47a-30ec-4a60-b6a1-c657e0d6de19,👍🏻👍🏻,5
699c184f-27c2-414b-bd84-4e3fe27caf1c,Nice work,5
293def95-84ee-43fe-92ad-3ce7bcf561e2,Me kisi ko follow nahi kar pata hu please help,5
